Country,Time,Value ($US)
China,2024 through October,"6,857"
China,2023,"66,604"
China,2022,"13,984"
China,2021,"12,358"
China,2020,"74,373"
China,1992,
China,1993,
China,1994,
China,1995,
China,1996,
China,1997,
China,1998,
China,1999,
China,2000,
China,2001,
China,2002,"7,691"
China,2003,"40,498"
China,2004,"325,126"
China,2005,"122,243"
China,2006,"25,364"
China,2007,"215,704"
China,2008,"87,204"
China,2009,"130,111"
China,2010,"211,214"
China,2011,"35,256"
China,2012,"137,961"
China,2013,"106,380"
China,2014,"78,651"
China,2015,"47,192"
China,2016,"51,702"
China,2017,"61,133"
China,2018,"61,449"
China,2019,"47,478"
China,2024 through October,"6,857"
China,2023,"66,604"
China,2022,"13,984"
China,2021,"12,358"
China,2020,"74,373"
China,1992,
China,1993,
China,1994,
China,1995,
China,1996,
China,1997,
China,1998,
China,1999,
China,2000,
China,2001,
China,2002,"7,691"
China,2003,"40,498"
China,2004,"325,126"
China,2005,"122,243"
China,2006,"25,364"
China,2007,"215,704"
China,2008,"87,204"
China,2009,"130,111"
China,2010,"211,214"
China,2011,"35,256"
China,2012,"137,961"
China,2013,"106,380"
China,2014,"78,651"
China,2015,"47,192"
China,2016,"51,702"
China,2017,"61,133"
China,2018,"61,449"
China,2019,"47,478"
China,2024 through October,"6,857"
China,2023,"66,604"
China,2022,"13,984"
China,2021,"12,358"
China,2020,"74,373"
China,1992,
China,1993,
China,1994,
China,1995,
China,1996,
China,1997,
China,1998,
China,1999,
China,2000,
China,2001,
China,2002,"7,691"
China,2003,"40,498"
China,2004,"325,126"
China,2005,"122,243"
China,2006,"25,364"
China,2007,"215,704"
China,2008,"87,204"
China,2009,"130,111"
China,2010,"211,214"
China,2011,"35,256"
China,2012,"137,961"
China,2013,"106,380"
China,2014,"78,651"
China,2015,"47,192"
China,2016,"51,702"
China,2017,"61,133"
China,2018,"61,449"
China,2019,"47,478"
China,2024 through October,"6,857"
China,2023,"66,604"
China,2022,"13,984"
China,2021,"12,358"
China,2020,"74,373"
China,1992,
China,1993,
China,1994,
China,1995,
China,1996,
China,1997,
China,1998,
China,1999,
China,2000,
China,2001,
China,2002,"7,691"
China,2003,"40,498"
China,2004,"325,126"
China,2005,"122,243"
China,2006,"25,364"
China,2007,"215,704"
China,2008,"87,204"
China,2009,"130,111"
China,2010,"211,214"
China,2011,"35,256"
China,2012,"137,961"
China,2013,"106,380"
China,2014,"78,651"
China,2015,"47,192"
China,2016,"51,702"
China,2017,"61,133"
China,2018,"61,449"
China,2019,"47,478"
Mexico,2024 through October,"96,646"
Mexico,2023,"160,388"
Mexico,2022,"259,020"
