Country,Commodity,Time,Value ($US),Quantity 2
China,"50 Silk, Including Yarns And Woven Fabric Thereof",1992,,
China,"50 Silk, Including Yarns And Woven Fabric Thereof",1993,,
China,"50 Silk, Including Yarns And Woven Fabric Thereof",1994,,
China,"50 Silk, Including Yarns And Woven Fabric Thereof",1995,,
China,"50 Silk, Including Yarns And Woven Fabric Thereof",1996,,
China,"50 Silk, Including Yarns And Woven Fabric Thereof",1997,,
China,"50 Silk, Including Yarns And Woven Fabric Thereof",1998,,
China,"50 Silk, Including Yarns And Woven Fabric Thereof",1999,,
China,"50 Silk, Including Yarns And Woven Fabric Thereof",2000,,
China,"50 Silk, Including Yarns And Woven Fabric Thereof",2001,,
China,"50 Silk, Including Yarns And Woven Fabric Thereof",2002,"7,691",
China,"50 Silk, Including Yarns And Woven Fabric Thereof",2003,"40,498",
China,"50 Silk, Including Yarns And Woven Fabric Thereof",2004,"325,126",
China,"50 Silk, Including Yarns And Woven Fabric Thereof",2005,"122,243",
China,"50 Silk, Including Yarns And Woven Fabric Thereof",2006,"25,364",
China,"50 Silk, Including Yarns And Woven Fabric Thereof",2007,"215,704",
China,"50 Silk, Including Yarns And Woven Fabric Thereof",2008,"87,204",
China,"50 Silk, Including Yarns And Woven Fabric Thereof",2009,"130,111",
China,"50 Silk, Including Yarns And Woven Fabric Thereof",2010,"211,214",
China,"50 Silk, Including Yarns And Woven Fabric Thereof",2011,"35,256",
China,"50 Silk, Including Yarns And Woven Fabric Thereof",2012,"137,961",
China,"50 Silk, Including Yarns And Woven Fabric Thereof",2013,"106,380",
China,"50 Silk, Including Yarns And Woven Fabric Thereof",2014,"78,651",
China,"50 Silk, Including Yarns And Woven Fabric Thereof",2015,"47,192",
China,"50 Silk, Including Yarns And Woven Fabric Thereof",2016,"51,702",
China,"50 Silk, Including Yarns And Woven Fabric Thereof",2017,"61,133",
China,"50 Silk, Including Yarns And Woven Fabric Thereof",2018,"61,449",
China,"50 Silk, Including Yarns And Woven Fabric Thereof",2019,"47,478",
China,"50 Silk, Including Yarns And Woven Fabric Thereof",2020,"74,373",
China,"50 Silk, Including Yarns And Woven Fabric Thereof",2021,"12,358",
China,"50 Silk, Including Yarns And Woven Fabric Thereof",2022,"13,984",
China,"50 Silk, Including Yarns And Woven Fabric Thereof",2023,"66,604",
China,"50 Silk, Including Yarns And Woven Fabric Thereof",2024 through October,"6,857",
China,"51 Wool & Animal Hair, Including Yarn & Woven Fabric",1992,,
China,"51 Wool & Animal Hair, Including Yarn & Woven Fabric",1993,,
China,"51 Wool & Animal Hair, Including Yarn & Woven Fabric",1994,,
China,"51 Wool & Animal Hair, Including Yarn & Woven Fabric",1995,,
China,"51 Wool & Animal Hair, Including Yarn & Woven Fabric",1996,,
China,"51 Wool & Animal Hair, Including Yarn & Woven Fabric",1997,,
China,"51 Wool & Animal Hair, Including Yarn & Woven Fabric",1998,,
China,"51 Wool & Animal Hair, Including Yarn & Woven Fabric",1999,,
China,"51 Wool & Animal Hair, Including Yarn & Woven Fabric",2000,,
China,"51 Wool & Animal Hair, Including Yarn & Woven Fabric",2001,,
China,"51 Wool & Animal Hair, Including Yarn & Woven Fabric",2002,"16,469",
China,"51 Wool & Animal Hair, Including Yarn & Woven Fabric",2003,"66,738",
China,"51 Wool & Animal Hair, Including Yarn & Woven Fabric",2004,"252,794",
China,"51 Wool & Animal Hair, Including Yarn & Woven Fabric",2005,"58,584",
China,"51 Wool & Animal Hair, Including Yarn & Woven Fabric",2006,"278,180",
China,"51 Wool & Animal Hair, Including Yarn & Woven Fabric",2007,"343,619",
China,"51 Wool & Animal Hair, Including Yarn & Woven Fabric",2008,"1,049,165",
China,"51 Wool & Animal Hair, Including Yarn & Woven Fabric",2009,"196,145",
China,"51 Wool & Animal Hair, Including Yarn & Woven Fabric",2010,"100,433",
China,"51 Wool & Animal Hair, Including Yarn & Woven Fabric",2011,"80,575",
China,"51 Wool & Animal Hair, Including Yarn & Woven Fabric",2012,"75,531",
China,"51 Wool & Animal Hair, Including Yarn & Woven Fabric",2013,"127,430",
China,"51 Wool & Animal Hair, Including Yarn & Woven Fabric",2014,"222,486",
China,"51 Wool & Animal Hair, Including Yarn & Woven Fabric",2015,"112,002",
China,"51 Wool & Animal Hair, Including Yarn & Woven Fabric",2016,"124,723",
China,"51 Wool & Animal Hair, Including Yarn & Woven Fabric",2017,"103,404",
China,"51 Wool & Animal Hair, Including Yarn & Woven Fabric",2018,"381,840",
China,"51 Wool & Animal Hair, Including Yarn & Woven Fabric",2019,"282,445",
China,"51 Wool & Animal Hair, Including Yarn & Woven Fabric",2020,"171,063",
China,"51 Wool & Animal Hair, Including Yarn & Woven Fabric",2021,"164,904",
China,"51 Wool & Animal Hair, Including Yarn & Woven Fabric",2022,"163,421",
China,"51 Wool & Animal Hair, Including Yarn & Woven Fabric",2023,"284,336",
China,"51 Wool & Animal Hair, Including Yarn & Woven Fabric",2024 through October,"377,575",
China,"52 Cotton, Including Yarn And Woven Fabric Thereof",1992,,
China,"52 Cotton, Including Yarn And Woven Fabric Thereof",1993,,
China,"52 Cotton, Including Yarn And Woven Fabric Thereof",1994,,
China,"52 Cotton, Including Yarn And Woven Fabric Thereof",1995,,
China,"52 Cotton, Including Yarn And Woven Fabric Thereof",1996,,
China,"52 Cotton, Including Yarn And Woven Fabric Thereof",1997,,
China,"52 Cotton, Including Yarn And Woven Fabric Thereof",1998,,
China,"52 Cotton, Including Yarn And Woven Fabric Thereof",1999,,
China,"52 Cotton, Including Yarn And Woven Fabric Thereof",2000,,
China,"52 Cotton, Including Yarn And Woven Fabric Thereof",2001,,
China,"52 Cotton, Including Yarn And Woven Fabric Thereof",2002,"7,156,788",
China,"52 Cotton, Including Yarn And Woven Fabric Thereof",2003,"417,266",
China,"52 Cotton, Including Yarn And Woven Fabric Thereof",2004,"15,934,462",
China,"52 Cotton, Including Yarn And Woven Fabric Thereof",2005,"5,235,842",
China,"52 Cotton, Including Yarn And Woven Fabric Thereof",2006,"826,464",
China,"52 Cotton, Including Yarn And Woven Fabric Thereof",2007,"2,104,077",
China,"52 Cotton, Including Yarn And Woven Fabric Thereof",2008,"1,502,895",
China,"52 Cotton, Including Yarn And Woven Fabric Thereof",2009,"3,239,218",
China,"52 Cotton, Including Yarn And Woven Fabric Thereof",2010,"384,816",
China,"52 Cotton, Including Yarn And Woven Fabric Thereof",2011,"452,827",
China,"52 Cotton, Including Yarn And Woven Fabric Thereof",2012,"329,839",
China,"52 Cotton, Including Yarn And Woven Fabric Thereof",2013,"556,948",
China,"52 Cotton, Including Yarn And Woven Fabric Thereof",2014,"1,616,338",
China,"52 Cotton, Including Yarn And Woven Fabric Thereof",2015,"1,673,041",
China,"52 Cotton, Including Yarn And Woven Fabric Thereof",2016,"639,113",
China,"52 Cotton, Including Yarn And Woven Fabric Thereof",2017,"727,170",
China,"52 Cotton, Including Yarn And Woven Fabric Thereof",2018,"978,785",
China,"52 Cotton, Including Yarn And Woven Fabric Thereof",2019,"544,260",
China,"52 Cotton, Including Yarn And Woven Fabric Thereof",2020,"897,370",
China,"52 Cotton, Including Yarn And Woven Fabric Thereof",2021,"359,646",
China,"52 Cotton, Including Yarn And Woven Fabric Thereof",2022,"17,043,302",
China,"52 Cotton, Including Yarn And Woven Fabric Thereof",2023,"15,246,015",
China,"52 Cotton, Including Yarn And Woven Fabric Thereof",2024 through October,"6,043,736",
China,53 Veg Text Fib Nesoi; Veg Fib & Paper Yns & Wov Fab,1992,,
China,53 Veg Text Fib Nesoi; Veg Fib & Paper Yns & Wov Fab,1993,,
China,53 Veg Text Fib Nesoi; Veg Fib & Paper Yns & Wov Fab,1994,,
China,53 Veg Text Fib Nesoi; Veg Fib & Paper Yns & Wov Fab,1995,,
China,53 Veg Text Fib Nesoi; Veg Fib & Paper Yns & Wov Fab,1996,,
China,53 Veg Text Fib Nesoi; Veg Fib & Paper Yns & Wov Fab,1997,,
China,53 Veg Text Fib Nesoi; Veg Fib & Paper Yns & Wov Fab,1998,,
China,53 Veg Text Fib Nesoi; Veg Fib & Paper Yns & Wov Fab,1999,,
China,53 Veg Text Fib Nesoi; Veg Fib & Paper Yns & Wov Fab,2000,,
China,53 Veg Text Fib Nesoi; Veg Fib & Paper Yns & Wov Fab,2001,,
China,53 Veg Text Fib Nesoi; Veg Fib & Paper Yns & Wov Fab,2002,,
China,53 Veg Text Fib Nesoi; Veg Fib & Paper Yns & Wov Fab,2003,"89,106",
China,53 Veg Text Fib Nesoi; Veg Fib & Paper Yns & Wov Fab,2004,"243,918",
China,53 Veg Text Fib Nesoi; Veg Fib & Paper Yns & Wov Fab,2005,"58,922",
China,53 Veg Text Fib Nesoi; Veg Fib & Paper Yns & Wov Fab,2006,,
China,53 Veg Text Fib Nesoi; Veg Fib & Paper Yns & Wov Fab,2007,"46,598",
China,53 Veg Text Fib Nesoi; Veg Fib & Paper Yns & Wov Fab,2008,"11,367",
China,53 Veg Text Fib Nesoi; Veg Fib & Paper Yns & Wov Fab,2009,,
China,53 Veg Text Fib Nesoi; Veg Fib & Paper Yns & Wov Fab,2010,"20,434",
