Year,Economy,Economy Label,Flow,Flow Label,Product concentration index,Product concentration index Footnote,Product concentration index Missing value
2010,004,"Afghanistan",02,"Exports",0.24377,,
2010,004,"Afghanistan",01,"Imports",0.30396,,
2010,008,"Albania",02,"Exports",0.15379,,
2010,008,"Albania",01,"Imports",0.11448,,
2010,012,"Algeria",02,"Exports",0.65222,,
2010,012,"Algeria",01,"Imports",0.17461,,
2010,020,"Andorra",02,"Exports",0.23701,,
2010,020,"Andorra",01,"Imports",0.11514,,
2010,024,"Angola",02,"Exports",0.40353,,
2010,024,"Angola",01,"Imports",0.1123,,
2010,032,"Argentina",02,"Exports",0.26028,,
2010,032,"Argentina",01,"Imports",0.11828,,
2010,051,"Armenia",02,"Exports",0.57301,,
2010,051,"Armenia",01,"Imports",0.11653,,
2010,533,"Aruba",02,"Exports",0.63903,,
2010,533,"Aruba",01,"Imports",0.14896,,
2010,036,"Australia",02,"Exports",0.17066,,
2010,036,"Australia",01,"Imports",0.2005,,
2010,040,"Austria",02,"Exports",0.1304,,
2010,040,"Austria",01,"Imports",0.08913,,
2010,031,"Azerbaijan",02,"Exports",0.27061,,
2010,031,"Azerbaijan",01,"Imports",0.19068,,
2010,044,"Bahamas",02,"Exports",0.6404,,
2010,044,"Bahamas",01,"Imports",0.08556,,
2010,048,"Bahrain",02,"Exports",0.31856,,
2010,048,"Bahrain",01,"Imports",0.09551,,
2010,050,"Bangladesh",02,"Exports",0.27707,,
2010,050,"Bangladesh",01,"Imports",0.21402,,
2010,052,"Barbados",02,"Exports",0.38893,,
2010,052,"Barbados",01,"Imports",0.11533,,
2010,112,"Belarus",02,"Exports",0.14352,,
2010,112,"Belarus",01,"Imports",0.08417,,
2010,056,"Belgium",02,"Exports",0.09927,,
2010,056,"Belgium",01,"Imports",0.08094,,
2010,084,"Belize",02,"Exports",0.31257,,
2010,084,"Belize",01,"Imports",0.11725,,
2010,204,"Benin",02,"Exports",0.377,,
2010,204,"Benin",01,"Imports",0.34527,,
2010,060,"Bermuda",01,"Imports",0.07149,,
2010,064,"Bhutan",02,"Exports",0.26756,,
2010,064,"Bhutan",01,"Imports",0.17839,,
2010,068,"Bolivia (Plurinational State of)",02,"Exports",0.27079,,
2010,068,"Bolivia (Plurinational State of)",01,"Imports",0.12188,,
2010,070,"Bosnia and Herzegovina",02,"Exports",0.11554,,
2010,070,"Bosnia and Herzegovina",01,"Imports",0.08786,,
2010,076,"Brazil",02,"Exports",0.2155,,
2010,076,"Brazil",01,"Imports",0.14786,,
2010,096,"Brunei Darussalam",02,"Exports",0.15903,,
2010,096,"Brunei Darussalam",01,"Imports",0.11333,,
2010,100,"Bulgaria",02,"Exports",0.11259,,
2010,100,"Bulgaria",01,"Imports",0.11838,,
2010,854,"Burkina Faso",02,"Exports",0.58581,,
2010,854,"Burkina Faso",01,"Imports",0.18963,,
2010,108,"Burundi",02,"Exports",0.73967,,
2010,108,"Burundi",01,"Imports",0.29507,,
2010,132,"Cabo Verde",02,"Exports",0.30287,,
2010,132,"Cabo Verde",01,"Imports",0.13252,,
2010,116,"Cambodia",02,"Exports",0.22745,,
2010,116,"Cambodia",01,"Imports",0.44082,,
2010,120,"Cameroon",02,"Exports",0.38775,,
2010,120,"Cameroon",01,"Imports",0.2185,,
2010,124,"Canada",02,"Exports",0.11063,,
2010,124,"Canada",01,"Imports",0.11737,,
2010,140,"Central African Republic",02,"Exports",0.47026,,
2010,140,"Central African Republic",01,"Imports",0.25811,,
2010,152,"Chile",02,"Exports",0.14389,,
2010,152,"Chile",01,"Imports",0.10376,,
2010,156,"China",02,"Exports",0.06821,,
2010,156,"China",01,"Imports",0.18947,,
2010,344,"China, Hong Kong SAR",02,"Exports",0.10747,,
2010,344,"China, Hong Kong SAR",01,"Imports",0.07608,,
2010,446,"China, Macao SAR",02,"Exports",0.16348,,
2010,446,"China, Macao SAR",01,"Imports",0.15499,,
2010,158,"China, Taiwan Province of",02,"Exports",0.09796,,
2010,158,"China, Taiwan Province of",01,"Imports",0.1316,,
2010,170,"Colombia",02,"Exports",0.2621,,
2010,170,"Colombia",01,"Imports",0.13949,,
2010,174,"Comoros",02,"Exports",0.58232,,
2010,174,"Comoros",01,"Imports",0.26841,,
2010,178,"Congo",02,"Exports",0.53585,,
2010,178,"Congo",01,"Imports",0.15497,,
2010,188,"Costa Rica",02,"Exports",0.25803,,
2010,188,"Costa Rica",01,"Imports",0.15092,,
2010,384,"Côte d'Ivoire",02,"Exports",0.39848,,
2010,384,"Côte d'Ivoire",01,"Imports",0.20401,,
2010,191,"Croatia",02,"Exports",0.11065,,
2010,191,"Croatia",01,"Imports",0.0975,,
2010,196,"Cyprus",02,"Exports",0.3112,,
2010,196,"Cyprus",01,"Imports",0.09935,,
2010,203,"Czechia",02,"Exports",0.08403,,
2010,203,"Czechia",01,"Imports",0.13184,,
2010,208,"Denmark",02,"Exports",0.11005,,
2010,208,"Denmark",01,"Imports",0.08082,,
2010,212,"Dominica",02,"Exports",0.50128,,
2010,212,"Dominica",01,"Imports",0.09807,,
2010,214,"Dominican Republic",02,"Exports",0.18716,,
2010,214,"Dominican Republic",01,"Imports",0.1245,,
2010,218,"Ecuador",02,"Exports",0.32943,,
2010,218,"Ecuador",01,"Imports",0.15407,,
2010,818,"Egypt",02,"Exports",0.10321,,
2010,818,"Egypt",01,"Imports",0.13942,,
2010,222,"El Salvador",02,"Exports",0.28822,,
2010,222,"El Salvador",01,"Imports",0.1069,,
2010,233,"Estonia",02,"Exports",0.0846,,
