Period,Period Label,Commodity,Commodity Label,Index Base 2015,Index Base 2015 Footnote,Index Base 2015 Missing value,"Growth rate, year-on-year","Growth rate, year-on-year Footnote","Growth rate, year-on-year Missing value",Growth rate (over previous period),Growth rate (over previous period) Footnote,Growth rate (over previous period) Missing value
1995M01,"Jan. 1995",IN0001.20,"All groups",46.03,,,,,"No value reported or collected",,,"No value reported or collected"
1995M01,"Jan. 1995",IN0001.01,"All food",80.75,,,,,"No value reported or collected",,,"No value reported or collected"
1995M01,"Jan. 1995",IN0001.02,"Food",80.81,,,,,"No value reported or collected",,,"No value reported or collected"
1995M01,"Jan. 1995",IN0001.03,"Tropical beverages",95.57,,,,,"No value reported or collected",,,"No value reported or collected"
1995M01,"Jan. 1995",IN0001.04,"Vegetable oilseeds and oils",72.2,,,,,"No value reported or collected",,,"No value reported or collected"
1995M01,"Jan. 1995",IN0001.06,"Agricultural raw materials",103.64,,,,,"No value reported or collected",,,"No value reported or collected"
1995M01,"Jan. 1995",IN0001.07,"Minerals, ores and metals",45.56,,,,,"No value reported or collected",,,"No value reported or collected"
1995M01,"Jan. 1995",IN0001.08,"Minerals, ores and non-precious metals",61.79,,,,,"No value reported or collected",,,"No value reported or collected"
1995M01,"Jan. 1995",IN0001.09,"Precious metals",32.73,,,,,"No value reported or collected",,,"No value reported or collected"
1995M01,"Jan. 1995",IN0001.10,"Fuels",35.32,,,,,"No value reported or collected",,,"No value reported or collected"
1995M01,"Jan. 1995",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
1995M01,"Jan. 1995",IN0001.05,"Tropical beverages and food",84.45,,,,,"No value reported or collected",,,"No value reported or collected"
1995M01,"Jan. 1995",IN0001.22,"All groups excl. fuels",63.4,,,,,"No value reported or collected",,,"No value reported or collected"
1995M01,"Jan. 1995",IN0001.23,"All groups excl. precious metals",47.82,,,,,"No value reported or collected",,,"No value reported or collected"
1995M01,"Jan. 1995",IN0001.24,"All groups excl. precious metals and fuels",77.21,,,,,"No value reported or collected",,,"No value reported or collected"
1995M02,"Feb. 1995",IN0001.20,"All groups",46.33,,,,,"No value reported or collected",0.6517,,
1995M02,"Feb. 1995",IN0001.01,"All food",80.29,,,,,"No value reported or collected",-0.5697,,
1995M02,"Feb. 1995",IN0001.02,"Food",80.5,,,,,"No value reported or collected",-0.3836,,
1995M02,"Feb. 1995",IN0001.03,"Tropical beverages",95.3,,,,,"No value reported or collected",-0.2825,,
1995M02,"Feb. 1995",IN0001.04,"Vegetable oilseeds and oils",71.38,,,,,"No value reported or collected",-1.1357,,
1995M02,"Feb. 1995",IN0001.06,"Agricultural raw materials",104.55,,,,,"No value reported or collected",0.878,,
1995M02,"Feb. 1995",IN0001.07,"Minerals, ores and metals",44.04,,,,,"No value reported or collected",-3.3363,,
1995M02,"Feb. 1995",IN0001.08,"Minerals, ores and non-precious metals",58.57,,,,,"No value reported or collected",-5.2112,,
1995M02,"Feb. 1995",IN0001.09,"Precious metals",32.55,,,,,"No value reported or collected",-0.55,,
1995M02,"Feb. 1995",IN0001.10,"Fuels",36.36,,,,,"No value reported or collected",2.9445,,
1995M02,"Feb. 1995",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
1995M02,"Feb. 1995",IN0001.05,"Tropical beverages and food",84.15,,,,,"No value reported or collected",-0.3552,,
1995M02,"Feb. 1995",IN0001.22,"All groups excl. fuels",62.49,,,,,"No value reported or collected",-1.4353,,
1995M02,"Feb. 1995",IN0001.23,"All groups excl. precious metals",48.18,,,,,"No value reported or collected",0.7528,,
1995M02,"Feb. 1995",IN0001.24,"All groups excl. precious metals and fuels",75.96,,,,,"No value reported or collected",-1.619,,
1995M03,"Mar. 1995",IN0001.20,"All groups",46.59,,,,,"No value reported or collected",0.5612,,
1995M03,"Mar. 1995",IN0001.01,"All food",82.24,,,,,"No value reported or collected",2.4287,,
1995M03,"Mar. 1995",IN0001.02,"Food",81.56,,,,,"No value reported or collected",1.3168,,
1995M03,"Mar. 1995",IN0001.03,"Tropical beverages",100.22,,,,,"No value reported or collected",5.1626,,
1995M03,"Mar. 1995",IN0001.04,"Vegetable oilseeds and oils",73.2,,,,,"No value reported or collected",2.5497,,
1995M03,"Mar. 1995",IN0001.06,"Agricultural raw materials",111.2,,,,,"No value reported or collected",6.3606,,
1995M03,"Mar. 1995",IN0001.07,"Minerals, ores and metals",43.68,,,,,"No value reported or collected",-0.8174,,
1995M03,"Mar. 1995",IN0001.08,"Minerals, ores and non-precious metals",57.25,,,,,"No value reported or collected",-2.2537,,
1995M03,"Mar. 1995",IN0001.09,"Precious metals",32.96,,,,,"No value reported or collected",1.2596,,
1995M03,"Mar. 1995",IN0001.10,"Fuels",36.09,,,,,"No value reported or collected",-0.7426,,
1995M03,"Mar. 1995",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
1995M03,"Mar. 1995",IN0001.05,"Tropical beverages and food",86.16,,,,,"No value reported or collected",2.3886,,
1995M03,"Mar. 1995",IN0001.22,"All groups excl. fuels",63.61,,,,,"No value reported or collected",1.7923,,
1995M03,"Mar. 1995",IN0001.23,"All groups excl. precious metals",48.42,,,,,"No value reported or collected",0.4981,,
