Period,Period Label,Economy,Economy Label,Annual average growth rate,Annual average growth rate Footnote,Annual average growth rate Missing value,Annual average growth rate per capita,Annual average growth rate per capita Footnote,Annual average growth rate per capita Missing value
19921995,"1992 - 1995",0000,"World",2.73999,,,1.21423,,
19921995,"1992 - 1995",5100,"Africa",1.53934,,,-1.02353,,
19921995,"1992 - 1995",5110,"Northern Africa",1.94512,,,-0.16514,,
19921995,"1992 - 1995",5120,"Sub-Saharan Africa",1.31223,,,-1.37912,,
19921995,"1992 - 1995",5121,"Eastern Africa",2.89347,,,0.25108,,
19921995,"1992 - 1995",5122,"Middle Africa",-1.66617,,,-5.1634,,
19921995,"1992 - 1995",5123,"Southern Africa",3.37742,,,1.67175,,
19921995,"1992 - 1995",5124,"Western Africa",-0.02452,,,-2.65158,,
19921995,"1992 - 1995",5200,"Americas",3.27403,,,1.76793,,
19921995,"1992 - 1995",5210,"Northern America",3.25267,,,2.13672,,
19921995,"1992 - 1995",5220,"Latin America and the Caribbean",3.35463,,,1.60436,,
19921995,"1992 - 1995",5221,"Caribbean",2.24669,,,1.0406,,
19921995,"1992 - 1995",5222,"Central America",1.26326,,,-0.67272,,
19921995,"1992 - 1995",5223,"South America",4.32367,,,2.58522,,
19921995,"1992 - 1995",5300,"Asia",4.59836,,,2.95369,,
19921995,"1992 - 1995",5310,"Central Asia",-8.95514,,,-9.78449,,
19921995,"1992 - 1995",5330,"Eastern Asia",4.74728,,,3.78265,,
19921995,"1992 - 1995",5350,"South-eastern Asia",7.7287,,,5.71626,,
19921995,"1992 - 1995",5320,"Southern Asia",4.33177,,,2.14844,,
19921995,"1992 - 1995",5340,"Western Asia",3.04494,,,0.50172,,
19921995,"1992 - 1995",5400,"Europe",0.86061,,,0.77518,,
19921995,"1992 - 1995",5410,"Eastern Europe",-5.08875,,,-4.92581,,
19921995,"1992 - 1995",5420,"Northern Europe",2.61536,,,2.40694,,
19921995,"1992 - 1995",5430,"Southern Europe",1.36464,,,1.2433,,
19921995,"1992 - 1995",5440,"Western Europe",1.34803,,,0.90559,,
19921995,"1992 - 1995",5500,"Oceania",4.1011,,,2.55375,,
19921995,"1992 - 1995",0001,"Individual economies",,,"Not applicable",,,"Not applicable"
19921995,"1992 - 1995",004,"Afghanistan",-6.32904,,,-13.84651,,
19921995,"1992 - 1995",008,"Albania",10.16548,,,10.43599,,
19921995,"1992 - 1995",012,"Algeria",0.12061,,,-2.08487,,
19921995,"1992 - 1995",020,"Andorra",1.45761,,,-0.55598,,
19921995,"1992 - 1995",024,"Angola",-3.44092,,,-6.53551,,
19921995,"1992 - 1995",660,"Anguilla",4.62915,,,1.93767,,
19921995,"1992 - 1995",028,"Antigua and Barbuda",2.83096,,,0.89267,,
19921995,"1992 - 1995",032,"Argentina",3.27464,,,1.90484,,
19921995,"1992 - 1995",051,"Armenia",1.31686,,,3.95067,,
19921995,"1992 - 1995",533,"Aruba",6.19698,,,2.79957,,
19921995,"1992 - 1995",036,"Australia",3.90635,,,2.85474,,
19921995,"1992 - 1995",040,"Austria",1.91513,,,1.46005,,
19921995,"1992 - 1995",031,"Azerbaijan",-18.45904,,,-19.57857,,
19921995,"1992 - 1995",044,"Bahamas",2.65312,,,0.85918,,
19921995,"1992 - 1995",048,"Bahrain",3.41215,,,0.69961,,
19921995,"1992 - 1995",050,"Bangladesh",4.48318,,,2.55983,,
19921995,"1992 - 1995",052,"Barbados",2.48149,,,2.24988,,
19921995,"1992 - 1995",112,"Belarus",-10.09241,,,-10.0295,,
19921995,"1992 - 1995",056,"Belgium",1.6992,,,1.39241,,
19921995,"1992 - 1995",084,"Belize",2.01783,,,-0.21451,,
19921995,"1992 - 1995",204,"Benin",5.5453,,,1.95455,,
19921995,"1992 - 1995",060,"Bermuda",2.96512,,,2.31501,,
19921995,"1992 - 1995",064,"Bhutan",4.96996,,,6.65339,,
19921995,"1992 - 1995",068,"Bolivia (Plurinational State of)",4.55101,,,2.54639,,
19921995,"1992 - 1995",070,"Bosnia and Herzegovina",8.33378,,,13.19822,,
19921995,"1992 - 1995",072,"Botswana",4.11639,,,1.28755,,
19921995,"1992 - 1995",076,"Brazil",5.05659,,,3.41698,,
19921995,"1992 - 1995",092,"British Virgin Islands",26.16594,,,23.15386,,
19921995,"1992 - 1995",096,"Brunei Darussalam",2.67968,,,0.10561,,
19921995,"1992 - 1995",100,"Bulgaria",1.1277,,,1.91304,,
19921995,"1992 - 1995",854,"Burkina Faso",3.26389,,,0.69037,,
19921995,"1992 - 1995",108,"Burundi",-5.46832,,,-6.51294,,
19921995,"1992 - 1995",132,"Cabo Verde",7.21182,,,5.05795,,
19921995,"1992 - 1995",116,"Cambodia",6.0637,,,-1.13308,,
19921995,"1992 - 1995",120,"Cameroon",1.84404,,,-0.96896,,
19921995,"1992 - 1995",124,"Canada",3.40041,,,2.26699,,
19921995,"1992 - 1995",136,"Cayman Islands",4.99907,,,0.39364,,
19921995,"1992 - 1995",140,"Central African Republic",3.48066,,,0.39977,,
19921995,"1992 - 1995",148,"Chad",2.13097,,,-0.83773,,
19921995,"1992 - 1995",152,"Chile",7.54761,,,5.93765,,
19921995,"1992 - 1995",156,"China",12.65977,,,11.55606,,
19921995,"1992 - 1995",344,"China, Hong Kong SAR",4.97286,,,2.5515,,
19921995,"1992 - 1995",446,"China, Macao SAR",4.24306,,,1.88612,,
19921995,"1992 - 1995",158,"China, Taiwan Province of",6.99404,,,6.0721,,
19921995,"1992 - 1995",170,"Colombia",5.33243,,,3.28725,,
19921995,"1992 - 1995",174,"Comoros",-0.21576,,,-1.97291,,
19921995,"1992 - 1995",178,"Congo",0.99903,,,-1.90452,,
19921995,"1992 - 1995",184,"Cook Islands",1.34985,,,0.7605,,
19921995,"1992 - 1995",188,"Costa Rica",5.17543,,,2.62568,,
19921995,"1992 - 1995",384,"Cote d'Ivoire",2.81214,,,-1.15743,,
19921995,"1992 - 1995",191,"Croatia",2.10909,,,3.29514,,
19921995,"1992 - 1995",192,"Cuba",-3.74662,,,-4.15684,,
19921995,"1992 - 1995",531,"Curacao",,,"Not applicable",,,"Not applicable"
19921995,"1992 - 1995",196,"Cyprus",5.4372,,,,,"No value reported or collected"
19921995,"1992 - 1995",203,"Czechia",,,"Not applicable",,,"Not applicable"
19921995,"1992 - 1995",200,"Czechoslovakia",,,"Not applicable",,,"Not applicable"
19921995,"1992 - 1995",408,"Dem. People's Rep. of Korea",-3.50694,,,-4.83406,,
19921995,"1992 - 1995",180,"Dem. Rep. of the Congo",-5.56138,,,-9.45547,,
19921995,"1992 - 1995",208,"Denmark",3.02079,,,2.61849,,
19921995,"1992 - 1995",262,"Djibouti",2.09325,,,1.54594,,
19921995,"1992 - 1995",212,"Dominica",1.56315,,,1.49352,,
19921995,"1992 - 1995",214,"Dominican Republic",4.7152,,,2.72761,,
19921995,"1992 - 1995",218,"Ecuador",2.96562,,,0.9738,,
19921995,"1992 - 1995",818,"Egypt",3.80926,,,1.56558,,
19921995,"1992 - 1995",222,"El Salvador",5.04094,,,3.96595,,
19921995,"1992 - 1995",226,"Equatorial Guinea",10.10269,,,6.07103,,
19921995,"1992 - 1995",232,"Eritrea",15.23513,,,10.86565,,
19921995,"1992 - 1995",233,"Estonia",-1.22585,,,0.71454,,
19921995,"1992 - 1995",748,"Eswatini",3.33481,,,2.46432,,
19921995,"1992 - 1995",231,"Ethiopia",7.16065,,,3.50769,,
19921995,"1992 - 1995",230,"Ethiopia (...1991)",,,"Not applicable",,,"Not applicable"
19921995,"1992 - 1995",280,"Federal Republic of Germany",,,"Not applicable",,,"Not applicable"
19921995,"1992 - 1995",242,"Fiji",3.29753,,,2.7175,,
19921995,"1992 - 1995",246,"Finland",2.62842,,,2.18614,,
19921995,"1992 - 1995",250,"France",1.37804,,,1.00901,"France includes data for Guadeloupe, Martinique, Reunion, French Guiana and Mayotte. Since population figures refer to metropolitan France, the denominator and numerator are mismatched for GDP per capita.",
19921995,"1992 - 1995",258,"French Polynesia",0.3595,,,-1.25651,,
19921995,"1992 - 1995",266,"Gabon",4.39085,,,1.69336,,
19921995,"1992 - 1995",270,"Gambia",1.22279,,,-2.04371,,
19921995,"1992 - 1995",268,"Georgia",-13.08025,,,-10.94825,,
19921995,"1992 - 1995",276,"Germany",1.11689,,,0.67835,,
19921995,"1992 - 1995",288,"Ghana",3.96764,,,1.49141,,
