Year,Economy,Economy Label,Sex,Sex Label,Industry,Industry Label,Components,Components Label,Percentage of Domestic Value Added,Percentage of Domestic Value Added Footnote,Percentage of Domestic Value Added Missing value
2000,360,"Indonesia",2,"Male",I20,"Total",01,"Domestic value added in gross exports",,,"Not applicable"
2000,360,"Indonesia",2,"Male",I20,"Total",02,"Direct domestic value added in gross exports",,,"Not applicable"
2000,360,"Indonesia",2,"Male",I20,"Total",03,"Indirect domestic value added in gross exports",,,"Not applicable"
2000,360,"Indonesia",2,"Male",I21,"Agriculture",01,"Domestic value added in gross exports",,,"Not applicable"
2000,360,"Indonesia",2,"Male",I21,"Agriculture",02,"Direct domestic value added in gross exports",,,"Not applicable"
2000,360,"Indonesia",2,"Male",I21,"Agriculture",03,"Indirect domestic value added in gross exports",,,"Not applicable"
2000,360,"Indonesia",2,"Male",I22,"Industry",01,"Domestic value added in gross exports",,,"Not applicable"
2000,360,"Indonesia",2,"Male",I22,"Industry",02,"Direct domestic value added in gross exports",,,"Not applicable"
2000,360,"Indonesia",2,"Male",I22,"Industry",03,"Indirect domestic value added in gross exports",,,"Not applicable"
2000,360,"Indonesia",2,"Male",I23,"Manufacturing",01,"Domestic value added in gross exports",,,"Not applicable"
2000,360,"Indonesia",2,"Male",I23,"Manufacturing",02,"Direct domestic value added in gross exports",,,"Not applicable"
2000,360,"Indonesia",2,"Male",I23,"Manufacturing",03,"Indirect domestic value added in gross exports",,,"Not applicable"
2000,360,"Indonesia",2,"Male",I24,"Services",01,"Domestic value added in gross exports",,,"Not applicable"
2000,360,"Indonesia",2,"Male",I24,"Services",02,"Direct domestic value added in gross exports",,,"Not applicable"
2000,360,"Indonesia",2,"Male",I24,"Services",03,"Indirect domestic value added in gross exports",,,"Not applicable"
2000,360,"Indonesia",1,"Female",I20,"Total",01,"Domestic value added in gross exports",,,"Not applicable"
2000,360,"Indonesia",1,"Female",I20,"Total",02,"Direct domestic value added in gross exports",,,"Not applicable"
2000,360,"Indonesia",1,"Female",I20,"Total",03,"Indirect domestic value added in gross exports",,,"Not applicable"
2000,360,"Indonesia",1,"Female",I21,"Agriculture",01,"Domestic value added in gross exports",,,"Not applicable"
2000,360,"Indonesia",1,"Female",I21,"Agriculture",02,"Direct domestic value added in gross exports",,,"Not applicable"
2000,360,"Indonesia",1,"Female",I21,"Agriculture",03,"Indirect domestic value added in gross exports",,,"Not applicable"
2000,360,"Indonesia",1,"Female",I22,"Industry",01,"Domestic value added in gross exports",,,"Not applicable"
2000,360,"Indonesia",1,"Female",I22,"Industry",02,"Direct domestic value added in gross exports",,,"Not applicable"
2000,360,"Indonesia",1,"Female",I22,"Industry",03,"Indirect domestic value added in gross exports",,,"Not applicable"
2000,360,"Indonesia",1,"Female",I23,"Manufacturing",01,"Domestic value added in gross exports",,,"Not applicable"
2000,360,"Indonesia",1,"Female",I23,"Manufacturing",02,"Direct domestic value added in gross exports",,,"Not applicable"
2000,360,"Indonesia",1,"Female",I23,"Manufacturing",03,"Indirect domestic value added in gross exports",,,"Not applicable"
2000,360,"Indonesia",1,"Female",I24,"Services",01,"Domestic value added in gross exports",,,"Not applicable"
2000,360,"Indonesia",1,"Female",I24,"Services",02,"Direct domestic value added in gross exports",,,"Not applicable"
2000,360,"Indonesia",1,"Female",I24,"Services",03,"Indirect domestic value added in gross exports",,,"Not applicable"
2000,392,"Japan",2,"Male",I20,"Total",01,"Domestic value added in gross exports",67.50819,,
2000,392,"Japan",2,"Male",I20,"Total",02,"Direct domestic value added in gross exports",65.99994,,
2000,392,"Japan",2,"Male",I20,"Total",03,"Indirect domestic value added in gross exports",69.98151,,
2000,392,"Japan",2,"Male",I21,"Agriculture",01,"Domestic value added in gross exports",61.67159,,
2000,392,"Japan",2,"Male",I21,"Agriculture",02,"Direct domestic value added in gross exports",61.1464,,
2000,392,"Japan",2,"Male",I21,"Agriculture",03,"Indirect domestic value added in gross exports",62.63137,,
2000,392,"Japan",2,"Male",I22,"Industry",01,"Domestic value added in gross exports",74.4712,,
2000,392,"Japan",2,"Male",I22,"Industry",02,"Direct domestic value added in gross exports",74.40046,,
2000,392,"Japan",2,"Male",I22,"Industry",03,"Indirect domestic value added in gross exports",74.55758,,
