Year,Series,Series Label,Economy,Economy Label,Flow,Flow Label,US$ at current prices in millions,US$ at current prices in millions Footnote,US$ at current prices in millions Missing value,Percentage of total trade in goods and services,Percentage of total trade in goods and services Footnote,Percentage of total trade in goods and services Missing value
2005,2102,"Total trade in services",0000,"World",02,"Exports",2696097.834,,,20.96796,,
2005,2102,"Total trade in services",0000,"World",01,"Imports",2633377.013,,,20.75797,,
2005,2102,"Total trade in services",5100,"Africa",02,"Exports",61742.293,,,16.25101,,
2005,2102,"Total trade in services",5100,"Africa",01,"Imports",77173.192,,,23.56167,,
2005,2102,"Total trade in services",5110,"Northern Africa",02,"Exports",30971.484,,,21.35795,,
2005,2102,"Total trade in services",5110,"Northern Africa",01,"Imports",25134.94,,,21.82184,,
2005,2102,"Total trade in services",5120,"Sub-Saharan Africa",02,"Exports",30770.809,,,13.09857,,
2005,2102,"Total trade in services",5120,"Sub-Saharan Africa",01,"Imports",52038.252,,,24.50537,,
2005,2102,"Total trade in services",5121,"Eastern Africa",02,"Exports",9191.794,,,35.97504,,
2005,2102,"Total trade in services",5121,"Eastern Africa",01,"Imports",9017.332,,,23.89939,,
2005,2102,"Total trade in services",5122,"Middle Africa",02,"Exports",2054.032,,,3.92379,,
2005,2102,"Total trade in services",5122,"Middle Africa",01,"Imports",14480.213,,,43.33994,,
2005,2102,"Total trade in services",5123,"Southern Africa",02,"Exports",13310.595,,,16.98141,,
2005,2102,"Total trade in services",5123,"Southern Africa",01,"Imports",13882.092,,,17.62009,,
2005,2102,"Total trade in services",5124,"Western Africa",02,"Exports",6214.388,,,7.90278,,
2005,2102,"Total trade in services",5124,"Western Africa",01,"Imports",14658.615,,,23.48094,,
2005,2102,"Total trade in services",5200,"Americas",02,"Exports",538679.268,,,22.42484,,
2005,2102,"Total trade in services",5200,"Americas",01,"Imports",481807.709,,,16.00684,,
2005,2102,"Total trade in services",5210,"Northern America",02,"Exports",441609.148,,,25.58579,,
2005,2102,"Total trade in services",5210,"Northern America",01,"Imports",379030.71,,,15.81541,,
2005,2102,"Total trade in services",5220,"Latin America and the Caribbean",02,"Exports",97070.12,,,14.35608,,
2005,2102,"Total trade in services",5220,"Latin America and the Caribbean",01,"Imports",102777,,,16.75474,,
2005,2102,"Total trade in services",5221,"Caribbean",02,"Exports",27703.842,,,50.48789,,
2005,2102,"Total trade in services",5221,"Caribbean",01,"Imports",10385.12,,,20.71473,,
2005,2102,"Total trade in services",5222,"Central America",02,"Exports",31273.626,,,11.63289,,
2005,2102,"Total trade in services",5222,"Central America",01,"Imports",33778.951,,,11.4521,,
2005,2102,"Total trade in services",5223,"South America",02,"Exports",38092.652,,,10.80795,,
2005,2102,"Total trade in services",5223,"South America",01,"Imports",58612.929,,,21.84377,,
2005,2102,"Total trade in services",5300,"Asia",02,"Exports",587229.187,,,14.40803,,
2005,2102,"Total trade in services",5300,"Asia",01,"Imports",733809.412,,,20.14096,,
2005,2102,"Total trade in services",5310,"Central Asia",02,"Exports",4725.838,,,10.90065,,
2005,2102,"Total trade in services",5310,"Central Asia",01,"Imports",11777.799,,,30.75452,,
2005,2102,"Total trade in services",5330,"Eastern Asia",02,"Exports",304747.091,,,13.04861,,
2005,2102,"Total trade in services",5330,"Eastern Asia",01,"Imports",373129.502,,,17.85753,,
2005,2102,"Total trade in services",5350,"South-eastern Asia",02,"Exports",113372.388,,,14.95325,,
2005,2102,"Total trade in services",5350,"South-eastern Asia",01,"Imports",139203.777,,,20.1915,,
2005,2102,"Total trade in services",5320,"Southern Asia",02,"Exports",64713.649,,,24.38941,,
2005,2102,"Total trade in services",5320,"Southern Asia",01,"Imports",85646.174,,,27.37845,,
2005,2102,"Total trade in services",5340,"Western Asia",02,"Exports",99670.221,,,14.80183,,
2005,2102,"Total trade in services",5340,"Western Asia",01,"Imports",124052.16,,,24.16514,,
2005,2102,"Total trade in services",5400,"Europe",02,"Exports",1462720.261,,,25.13579,,
2005,2102,"Total trade in services",5400,"Europe",01,"Imports",1295101.99,,,23.5282,,
2005,2102,"Total trade in services",5410,"Eastern Europe",02,"Exports",107001.153,,,15.96982,,
2005,2102,"Total trade in services",5410,"Eastern Europe",01,"Imports",101619.286,,,17.35953,,
2005,2102,"Total trade in services",5420,"Northern Europe",02,"Exports",446395.579,,,32.95173,,
2005,2102,"Total trade in services",5420,"Northern Europe",01,"Imports",382036.331,,,29.3291,,
2005,2102,"Total trade in services",5430,"Southern Europe",02,"Exports",256002.421,,,28.14064,,
2005,2102,"Total trade in services",5430,"Southern Europe",01,"Imports",193890.95,,,18.95987,,
2005,2102,"Total trade in services",5440,"Western Europe",02,"Exports",653321.108,,,22.64676,,
2005,2102,"Total trade in services",5440,"Western Europe",01,"Imports",617555.422,,,23.80833,,
2005,2102,"Total trade in services",5500,"Oceania",02,"Exports",45726.824,,,25.24773,,
2005,2102,"Total trade in services",5500,"Oceania",01,"Imports",45484.711,,,22.66101,,
2005,2102,"Total trade in services",0001,"Individual economies",02,"Exports",,,"Not applicable",,,"Not applicable"
2005,2102,"Total trade in services",0001,"Individual economies",01,"Imports",,,"Not applicable",,,"Not applicable"
2005,2102,"Total trade in services",004,"Afghanistan",02,"Exports",,,"Not publishable",,,"Not publishable"
2005,2102,"Total trade in services",004,"Afghanistan",01,"Imports",,,"Not publishable",,,"Not publishable"
2005,2102,"Total trade in services",008,"Albania",02,"Exports",1266.65,,,86.71125,,
2005,2102,"Total trade in services",008,"Albania",01,"Imports",1382.89,,,39.50721,,
2005,2102,"Total trade in services",012,"Algeria",02,"Exports",2507,,,5.13298,,
2005,2102,"Total trade in services",012,"Algeria",01,"Imports",4823,,,19.57386,,
2005,2102,"Total trade in services",016,"American Samoa",02,"Exports",,,"Not publishable",,,"Not publishable"
2005,2102,"Total trade in services",016,"American Samoa",01,"Imports",,,"Not publishable",,,"Not publishable"
2005,2102,"Total trade in services",020,"Andorra",02,"Exports",,,"No value reported or collected",,,"No value reported or collected"
2005,2102,"Total trade in services",020,"Andorra",01,"Imports",,,"No value reported or collected",,,"No value reported or collected"
2005,2102,"Total trade in services",024,"Angola",02,"Exports",176.825,,,0.72809,,
2005,2102,"Total trade in services",024,"Angola",01,"Imports",6790.98,,,44.84207,,
2005,2102,"Total trade in services",660,"Anguilla",02,"Exports",95.56,,,86.41983,,
2005,2102,"Total trade in services",660,"Anguilla",01,"Imports",48.867,,,29.94824,,
2005,2102,"Total trade in services",028,"Antigua and Barbuda",02,"Exports",732.676,,,89.86072,,
2005,2102,"Total trade in services",028,"Antigua and Barbuda",01,"Imports",389.039,,,46.07317,,
2005,2102,"Total trade in services",032,"Argentina",02,"Exports",6458.06,,,13.82821,,
2005,2102,"Total trade in services",032,"Argentina",01,"Imports",7496.89,,,21.54465,,
2005,2102,"Total trade in services",051,"Armenia",02,"Exports",430.15,,,30.24127,,
2005,2102,"Total trade in services",051,"Armenia",01,"Imports",578.071,,,26.6747,,
2005,2102,"Total trade in services",533,"Aruba",02,"Exports",1307.8,,,22.8476,,
2005,2102,"Total trade in services",533,"Aruba",01,"Imports",711.667,,,14.21087,,
2005,2102,"Total trade in services",036,"Australia",02,"Exports",32382.5,,,23.26874,,
2005,2102,"Total trade in services",036,"Australia",01,"Imports",33332.5,,,21.61038,,
2005,2102,"Total trade in services",040,"Austria",02,"Exports",41435.442,,,26.56179,,
2005,2102,"Total trade in services",040,"Austria",01,"Imports",31970.91,,,22.02821,,
2005,2102,"Total trade in services",031,"Azerbaijan",02,"Exports",741.46,,,9.10938,,
2005,2102,"Total trade in services",031,"Azerbaijan",01,"Imports",2658.8,,,39.04004,,
2005,2102,"Total trade in services",044,"Bahamas",02,"Exports",2510.9,,,82.05468,,
2005,2102,"Total trade in services",044,"Bahamas",01,"Imports",1286.41,,,35.11096,,
2005,2102,"Total trade in services",048,"Bahrain",02,"Exports",3154.9,,,23.54944,,
2005,2102,"Total trade in services",048,"Bahrain",01,"Imports",1416.22,,,13.76713,,
2005,2102,"Total trade in services",050,"Bangladesh",02,"Exports",1496.927,,,14.1869,,
2005,2102,"Total trade in services",050,"Bangladesh",01,"Imports",2364.509,,,16.07609,,
2005,2102,"Total trade in services",052,"Barbados",02,"Exports",1254.521,,,78.44161,,
2005,2102,"Total trade in services",052,"Barbados",01,"Imports",522.228,,,25.83212,,
2005,2102,"Total trade in services",112,"Belarus",02,"Exports",2342.3,,,13.35687,,
2005,2102,"Total trade in services",112,"Belarus",01,"Imports",1141,,,6.63577,,
2005,2102,"Total trade in services",056,"Belgium",02,"Exports",59199.785,,,20.57571,,
2005,2102,"Total trade in services",056,"Belgium",01,"Imports",54112.153,,,19.44666,,
2005,2102,"Total trade in services",084,"Belize",02,"Exports",306.952,,,49.91847,,
2005,2102,"Total trade in services",084,"Belize",01,"Imports",158.792,,,22.58759,,
2005,2102,"Total trade in services",204,"Benin",02,"Exports",193.842,,,25.09775,,
2005,2102,"Total trade in services",204,"Benin",01,"Imports",281.344,,,24.57044,,
2005,2102,"Total trade in services",060,"Bermuda",02,"Exports",,,"Not publishable",,,"Not publishable"
2005,2102,"Total trade in services",060,"Bermuda",01,"Imports",,,"Not publishable",,,"Not publishable"
2005,2102,"Total trade in services",064,"Bhutan",02,"Exports",42.479,,,16.69221,,
2005,2102,"Total trade in services",064,"Bhutan",01,"Imports",127.857,,,23.56438,,
2005,2102,"Total trade in services",068,"Bolivia (Plurinational State of)",02,"Exports",657.166,,,20.52276,,
2005,2102,"Total trade in services",068,"Bolivia (Plurinational State of)",01,"Imports",681.954,,,23.80672,,
2005,2102,"Total trade in services",535,"Bonaire, Sint Eustatius and Saba",02,"Exports",,,"Not applicable",,,"Not applicable"
2005,2102,"Total trade in services",535,"Bonaire, Sint Eustatius and Saba",01,"Imports",,,"Not applicable",,,"Not applicable"
2005,2102,"Total trade in services",070,"Bosnia and Herzegovina",02,"Exports",988.951,,,27.90281,,
2005,2102,"Total trade in services",070,"Bosnia and Herzegovina",01,"Imports",435.565,,,5.52061,,
2005,2102,"Total trade in services",072,"Botswana",02,"Exports",831.512,,,15.77955,,
2005,2102,"Total trade in services",072,"Botswana",01,"Imports",594.002,,,17.24467,,
2005,2102,"Total trade in services",076,"Brazil",02,"Exports",14762.691,,,11.10004,,
2005,2102,"Total trade in services",076,"Brazil",01,"Imports",24810.058,,,24.93419,,
2005,2102,"Total trade in services",092,"British Virgin Islands",02,"Exports",,,"Not publishable",,,"Not publishable"
2005,2102,"Total trade in services",092,"British Virgin Islands",01,"Imports",,,"Not publishable",,,"Not publishable"
