Year,Year Label,Economy,Economy Label,Flow,Flow Label,Annual average growth rate,Annual average growth rate Footnote,Annual average growth rate Missing value
19921995,"1992 - 1995",0000,"World",02,"Exports",11.30038,,
19921995,"1992 - 1995",0000,"World",01,"Imports",10.57543,,
19921995,"1992 - 1995",5100,"Africa",02,"Exports",4.59825,,
19921995,"1992 - 1995",5100,"Africa",01,"Imports",7.97121,,
19921995,"1992 - 1995",5110,"Northern Africa",02,"Exports",2.74515,,
19921995,"1992 - 1995",5110,"Northern Africa",01,"Imports",8.39056,,
19921995,"1992 - 1995",5120,"Sub-Saharan Africa",02,"Exports",5.5104,,
19921995,"1992 - 1995",5120,"Sub-Saharan Africa",01,"Imports",7.73056,,
19921995,"1992 - 1995",5121,"Eastern Africa",02,"Exports",13.05675,,
19921995,"1992 - 1995",5121,"Eastern Africa",01,"Imports",6.65907,,
19921995,"1992 - 1995",5122,"Middle Africa",02,"Exports",1.2518,,
19921995,"1992 - 1995",5122,"Middle Africa",01,"Imports",0.26161,,
19921995,"1992 - 1995",5123,"Southern Africa",02,"Exports",5.83266,,
19921995,"1992 - 1995",5123,"Southern Africa",01,"Imports",13.61614,,
19921995,"1992 - 1995",5124,"Western Africa",02,"Exports",4.36041,,
19921995,"1992 - 1995",5124,"Western Africa",01,"Imports",2.14949,,
19921995,"1992 - 1995",5200,"Americas",02,"Exports",11.22068,,
19921995,"1992 - 1995",5200,"Americas",01,"Imports",11.84234,,
19921995,"1992 - 1995",5210,"Northern America",02,"Exports",10.17183,,
19921995,"1992 - 1995",5210,"Northern America",01,"Imports",11.41363,,
19921995,"1992 - 1995",5220,"Latin America and the Caribbean",02,"Exports",15.06908,,
19921995,"1992 - 1995",5220,"Latin America and the Caribbean",01,"Imports",13.49344,,
19921995,"1992 - 1995",5221,"Caribbean",02,"Exports",6.98107,,
19921995,"1992 - 1995",5221,"Caribbean",01,"Imports",9.73463,,
19921995,"1992 - 1995",5222,"Central America",02,"Exports",19.60545,,
19921995,"1992 - 1995",5222,"Central America",01,"Imports",7.67486,,
19921995,"1992 - 1995",5223,"South America",02,"Exports",13.20089,,
