Year,Economy,Economy Label,Flow,Flow Label,US$ at current prices in millions,US$ at current prices in millions Footnote,US$ at current prices in millions Missing value,Percentage of total world,Percentage of total world Footnote,Percentage of total world Missing value
1948,0000,"World",02,"Exports",58661.939,,,100,,
1948,0000,"World",01,"Imports",62369.384,,,100,,
1948,5100,"Africa",02,"Exports",4373.538,,,7.455495,,
1948,5100,"Africa",01,"Imports",5033.525,,,8.070506,,
1948,5110,"Northern Africa",02,"Exports",1308.315,,,2.230262,,
1948,5110,"Northern Africa",01,"Imports",1770.674,,,2.839012,,
1948,5120,"Sub-Saharan Africa",02,"Exports",3065.223,,,5.225233,,
1948,5120,"Sub-Saharan Africa",01,"Imports",3262.851,,,5.231495,,
1948,5121,"Eastern Africa",02,"Exports",704.347,,,1.200688,,
1948,5121,"Eastern Africa",01,"Imports",781.691,,,1.253325,,
1948,5122,"Middle Africa",02,"Exports",419,,,0.714262,,
1948,5122,"Middle Africa",01,"Imports",391,,,0.62691,,
1948,5123,"Southern Africa",02,"Exports",1170.31,,,1.995007,,
1948,5123,"Southern Africa",01,"Imports",1551.75,,,2.488,,
1948,5124,"Western Africa",02,"Exports",771.566,,,1.315275,,
1948,5124,"Western Africa",01,"Imports",538.41,,,0.86326,,
1948,5200,"Americas",02,"Exports",23082.257,,,39.347927,,
1948,5200,"Americas",01,"Imports",17945.14,,,28.772354,,
1948,5210,"Northern America",02,"Exports",15860.91,,,27.037821,,
1948,5210,"Northern America",01,"Imports",10827.27,,,17.359912,,
1948,5220,"Latin America and the Caribbean",02,"Exports",7221.347,,,12.310106,,
1948,5220,"Latin America and the Caribbean",01,"Imports",7117.87,,,11.412442,,
1948,5221,"Caribbean",02,"Exports",1435.141,,,2.44646,,
1948,5221,"Caribbean",01,"Imports",1454.863,,,2.332656,,
1948,5222,"Central America",02,"Exports",870.214,,,1.483439,,
1948,5222,"Central America",01,"Imports",941.388,,,1.509375,,
1948,5223,"South America",02,"Exports",4915.992,,,8.380207,,
1948,5223,"South America",01,"Imports",4721.619,,,7.570411,,
1948,5300,"Asia",02,"Exports",7290.656,,,12.428256,,
1948,5300,"Asia",01,"Imports",8366.171,,,13.413907,,
1948,5330,"Eastern Asia",02,"Exports",1222.644,,,2.08422,,
1948,5330,"Eastern Asia",01,"Imports",1826.099,,,2.927877,,
1948,5350,"South-eastern Asia",02,"Exports",2582.535,,,4.402403,,
1948,5350,"South-eastern Asia",01,"Imports",2935.89,,,4.707261,,
1948,5320,"Southern Asia",02,"Exports",2636.739,,,4.494804,,
1948,5320,"Southern Asia",01,"Imports",2268.328,,,3.636925,,
1948,5340,"Western Asia",02,"Exports",848.738,,,1.446829,,
1948,5340,"Western Asia",01,"Imports",1335.854,,,2.141843,,
1948,5400,"Europe",02,"Exports",21674.016,,,36.947323,,
1948,5400,"Europe",01,"Imports",29149.128,,,46.736277,,
1948,5410,"Eastern Europe",02,"Exports",3146,,,5.362932,,
1948,5410,"Eastern Europe",01,"Imports",2800,,,4.489382,,
1948,5420,"Northern Europe",02,"Exports",9474.304,,,16.150683,,
1948,5420,"Northern Europe",01,"Imports",12326.745,,,19.764096,,
1948,5430,"Southern Europe",02,"Exports",2025.452,,,3.452753,,
1948,5430,"Southern Europe",01,"Imports",3180.298,,,5.099133,,
1948,5440,"Western Europe",02,"Exports",7028.26,,,11.980954,,
1948,5440,"Western Europe",01,"Imports",10842.085,,,17.383665,,
1948,5500,"Oceania",02,"Exports",2241.472,,,3.820999,,
1948,5500,"Oceania",01,"Imports",1875.42,,,3.006956,,
1948,0001,"Individual economies",02,"Exports",,,"Not applicable",,,"Not applicable"
1948,0001,"Individual economies",01,"Imports",,,"Not applicable",,,"Not applicable"
1948,004,"Afghanistan",02,"Exports",49,,,0.083529,,
1948,004,"Afghanistan",01,"Imports",58,,,0.092994,,
1948,012,"Algeria",02,"Exports",417.71,,,0.712063,,
1948,012,"Algeria",01,"Imports",482,,,0.772815,,
1948,016,"American Samoa",02,"Exports",1,,,0.001705,,
1948,016,"American Samoa",01,"Imports",1,,,0.001603,,
1948,024,"Angola",02,"Exports",60,,,0.102281,,
1948,024,"Angola",01,"Imports",49,,,0.078564,,
1948,028,"Antigua and Barbuda",02,"Exports",1.409,,,0.002402,,
1948,028,"Antigua and Barbuda",01,"Imports",3.588,,,0.005753,,
1948,032,"Argentina",02,"Exports",1629,,,2.776928,,
1948,032,"Argentina",01,"Imports",1561.5,,,2.503632,,
1948,051,"Armenia",02,"Exports",,,"Not applicable",,,"Not applicable"
