CountryName,Year,Value of global merchandise exports as a share of GDP,GDP per capita,Population (historical),CurrentYearTotalTradeValue,PreviousYearTotalTradeValue,GrowthPercentage,AverageGrowthPercentage,AnnualTradeValue
Afghanistan,2009,3.93394,1557.3207,27466101,806882.012,1080131.188,-25.3,5.51,806882.012
Afghanistan,2010,3.47335,1627.6716,28284088,776967.274,806882.012,-3.71,5.51,776967.274
Afghanistan,2011,2.88153,1792,29347709,751701.87,776967.274,-3.25,5.51,751701.87
Afghanistan,2012,2.68593,1945,30560036,857805.42,751701.87,14.12,5.51,857805.42
Afghanistan,2013,3.31999,2025,31622708,1029945.966,857805.42,20.07,5.51,1029945.966
Afghanistan,2014,3.66463,2022,32792527,1141068.014,1029945.966,10.79,5.51,1141068.014
Albania,1997,10.97035,3526.9856,3229665,275362.021,422280.797,-34.79,25.56,275362.021
Albania,1998,10.33607,3873.373,3210133,415307.604,275362.021,50.82,25.56,415307.604
Albania,1999,8.0701,4432.0425,3188596,702195.648,415307.604,69.08,25.56,702195.648
Albania,2000,10.25662,4808.4795,3166147,522951.56,702195.648,-25.53,25.56,522951.56
Albania,2001,8.70942,5285.809,3147941,609861.401,522951.56,16.62,25.56,609861.401
Albania,2002,7.94269,5608.9624,3134094,660482.994,609861.401,8.3,25.56,660482.994
Albania,2003,8.10718,6004.645,3118092,894441.093,660482.994,35.42,25.56,894441.093
Albania,2004,8.38121,6419.8706,3098663,1205306.718,894441.093,34.76,25.56,1205306.718
Albania,2005,7.74527,6858.4673,3076155,393098.873,1205306.718,-67.39,25.56,393098.873
Albania,2006,8.32368,7347.33,3050804,476665.189,393098.873,21.26,25.56,476665.189
Albania,2007,9.51461,7866.1577,3022887,2155380.715,476665.189,352.18,25.56,2155380.715
Albania,2008,10.41684,8522.13,2992933,1088107.114,2155380.715,-49.52,25.56,1088107.114
Albania,2009,9.13642,8859.472,2961487,2175829.799,1088107.114,99.96,25.56,2175829.799
Albania,2010,13.03174,9222.973,2928730,3099911.449,2175829.799,42.47,25.56,3099911.449
Albania,2011,15.13863,9484,2911500,3896414.613,3099911.449,25.69,25.56,3896414.613
Albania,2012,15.98169,9634.334,2910003,3935837.89,3896414.613,1.01,25.56,3935837.89
Albania,2013,17.98306,9748.728,2907570,4663043.855,3935837.89,18.48,25.56,4663043.855
Albania,2014,17.61166,9942.276,2903748,4861447.289,4663043.855,4.25,25.56,4861447.289
Algeria,1993,22.4888,4816.924,27277040,20195330.56,22273603.93,-9.33,8.29,20195330.56
Algeria,1994,23.45392,4856.9854,27887276,17187612.51,20195330.56,-14.89,8.29,17187612.51
Algeria,1995,28.07633,5142.384,28470194,18713360.62,17187612.51,8.88,8.29,18713360.62
Algeria,1996,29.99978,5451.6343,29033045,22198443.62,18713360.62,18.62,8.29,22198443.62
Algeria,1997,31.92413,5638.48,29579300,27788247.06,22198443.62,25.18,8.29,27788247.06
Algeria,1998,24.80063,6069.7773,30054135,19677175.86,27788247.06,-29.19,8.29,19677175.86
Algeria,1999,27.82548,6421.5083,30474359,25050553.26,19677175.86,27.31,8.29,25050553.26
Algeria,2000,42.03765,6834.5537,30903895,44062575.29,25050553.26,75.89,8.29,44062575.29
