year,ISO_code,countries,ECONOMIC FREEDOM,rank,quartile,1a_government_consumption,1b_transfers,1c_gov_enterprises,1d_top_marg_tax_rate,1_size_government,2a_judicial_independence,2b_impartial_courts,2c_protection_property_rights,2d_military_interference,2e_integrity_legal_system,2f_legal_enforcement_contracts,2g_restrictions_sale_real_property,2h_reliability_police,2i_business_costs_crime,2j_gender_adjustment,2_property_rights,3a_money_growth,3b_std_inflation,3c_inflation,3d_freedom_own_foreign_currency,3_sound_money,4a_tariffs,4b_regulatory_trade_barriers,4c_black_market,4d_control_movement_capital_ppl,4_trade,5a_credit_market_reg,5b_labor_market_reg,5c_business_reg,5_regulation
2016,CHN,China,6.46,108,3,3.861764706,8.294277929,2,6,5.039010659,5.823229153,5.173021555,5.960284868,5,5.833333333,5.739974919,8.513846662,5.981355508,6.310324668,0.871794872,5.650259343,9.981750724,9.587956452,9.6,5,8.542426794,8.211422222,6.220092258,10,2.403916296,6.708857694,7.133781301,5.539547608,6.400861149,6.358063353
2016,MEX,Mexico,6.9,82,3,7.308823529,6.354223433,10,8,7.915761741,3.172389667,2.98452576,4.957496723,5,2.5,5.889592943,7.425926656,2.407978375,2.806613048,1,4.127169241,8.493417905,9.497160573,9.4358,5,8.106594619,7.964444444,5.785476888,10,5.28845032,7.259592913,9.341539878,5.580268088,6.407296108,7.109701358
2016,USA,United States,8.03,6,1,6.714705882,5.990628844,8,5,6.426333682,7.517065207,7.287940979,7.862137158,6.666666667,8.333333333,5.446118366,8.890953497,8.224655787,6.337010065,1,7.396209007,9.7446426,9.899154398,9.7477,10,9.84787425,8.389111111,8.368280907,10,3.855921399,7.653328354,9.333835021,9.137463946,8.011500176,8.827599714
2015,CHN,China,6.39,113,3,3.947058824,8.294277929,2,6,5.060334188,5.269586555,4.969095778,5.868727647,5,5.833333333,6.067809479,8.513846662,6.153484186,6.494319145,0.871794872,5.633083765,9.668458526,8.744705138,9.711488923,5,8.281163147,8.105822222,6.063676733,10,2.36096784,6.632616699,7.134666667,5.599601733,6.251617167,6.328628522
2015,MEX,Mexico,6.88,79,2,7.223529412,6.277929155,8,8,7.375364642,3.503567694,3.209447867,5.133174886,5,2.5,5.891853871,7.495043668,2.517006795,2.752370395,1,4.22249613,8.74873287,9.396310578,9.455871747,5,8.150228799,7.698977778,7.082718381,10,5.30855133,7.522561872,9.317,5.636287696,6.39898161,7.117423102
2015,USA,United States,7.93,10,1,6.617647059,5.990628844,8,5,6.402068976,7.114924825,6.563272869,7.687730094,6.666666667,8.333333333,5.446118366,8.923824621,8.290322622,6.010562939,1,7.22630626,9.201298775,9.866631821,9.976274573,10,9.761051292,8.377333333,8.0656666,10,3.700796164,7.535949024,9.338333333,9.136189419,7.665443124,8.713321959
2014,CHN,China,6.38,116,3,4.041176471,8.294277929,2,6,5.0838636,4.813307927,4.559533024,5.745873182,5,5.833333333,6.068,8.513846662,5.499891803,6.418958576,0.891891892,5.513051224,9.417668671,8.759808535,9.600630583,5,8.194526948,8.216177778,6.302236631,10,2.641286837,6.789925311,7.255666667,5.526078107,6.145357498,6.30903409
2014,MEX,Mexico,6.85,87,3,7.297058824,6.31880109,8,8,7.403964978,3.623717603,3.431986143,5.002915772,5,2.5,5.655,7.119691262,3.034803321,2.770793559,1,4.237656407,8.639544763,9.412972496,9.19627656,5,8.062198455,7.421111111,7.439199057,10,5.391975678,7.563071462,8.890333333,5.406419466,6.587200737,6.961317846
2014,USA,United States,7.81,13,1,6.547058824,6.083225542,8,5,6.407571091,6.921640877,6.3817068,7.574895328,6.667,8.333,5.446,8.923824621,7.891955907,5.756605555,1,7.099625454,8.056415325,9.826626875,9.675555405,10,9.389649401,8.404888889,8.139802617,10,3.749573544,7.573566263,9.006,9.198648288,7.536802716,8.580483668
2013,CHN,China,6.39,111,3,3.876470588,8.294277929,2,6,5.042687129,4.977376553,4.713308505,5.812530901,5,5.833333333,6.067809479,8.449994338,5.499891803,6.343013481,0.891891892,5.538750882,9.983244271,8.599869372,9.473830979,5,8.264236156,8.110266667,6.340057415,10,2.522574303,6.743224596,7.209214537,5.633053942,6.177178176,6.339815552
