Country,Month,Export,Import
Albania,January,343.8,54768.44
Argentina,January,0,2020521.38
Armenia,January,9556544.6,2551888
Australia,January,66092.26,0
Austria,January,132138.24,3066550.94
Azerbaijan,January,6358707.03,66785798.71
Bahams,January,0,6936.3
Bangladesh,January,0,217552.65
Belarus,January,1629669.99,4256080.07
Belgium,January,319055.83,3958972.92
Belize,January,0,335977
Brasil,January,1021.31,3344645
Bulgaria,January,49512273.71,14871353.05
Burkinafaso,January,158532.03,0
Cambodia,January,0,6615.2
Canada,January,98183.98,1067207.77
Chile,January,228.38,0
China,January,25400246.4,60027650.86
Colombia,January,0,21981.45
Costa Rica,January,114.6,0
Croatia,January,16276.94,505833.88
Cyprus,January,246859.65,617589.63
Czech Republic,January,648711.47,7985995.88
Denmark,January,29950.45,1263801.61
Domineika,January,0,6078.55
Ecvador,January,0,1585741.94
Egypt,January,19250,1150006.25
Estonia,January,265713.64,516077.73
Finland,January,132348.35,1054502.73
France,January,2660511.56,9057397.73
Gabon,January,0,1853063.26
Gambia,January,0,3047.56
Georgia,January,5260468.3,214199.84
Germany,January,4715611.07,19484452.31
Great Britain,January,452102.42,3392691.78
Greece,January,159781.34,2444981.62
Honduras,January,17700,0
Hong Kong,January,16227.45,9658486.1
Hungary,January,76260.89,4122679.63
Iceland,January,0,706136
India,January,47315.55,3873288.8
Indonesia,January,913.52,649443.99
Iran,January,815314.33,13411344.64
Iraq,January,1012962.95,75427.2
Ireland,January,38500,1933886.35
Israel,January,983368.86,667753.06
Italy,January,4490317.74,11796659.68
Japan,January,1000968.48,685727.79
Jordan,January,1488946.55,0
Kazakhstan,January,3329471.16,1648580.63
Kenya,January,81192,38827.39
Kuwait,January,41330.6,0
Kyrgyzstan,January,274864.2,172581.05
Latvia,January,563865.25,2449560.34
Lebanon,January,5818.19,5721.9
Libia,January,130006.76,0
Liechtenstein,January,0,13571.02
Lithuania,January,2910793.08,2959056.31
Luxembourg,January,0,45234.73
Macedonia,January,83528.89,342441.39
Mala,January,0,1337432.92
Malawi,January,0,70840
Malaysia,January,47284.64,456716.01
Mexico,January,0,24546
Moldova,January,801070.13,402644.36
Mongolia,January,88848.6,0
Morocco,January,40573.06,0
Netherlands,January,963048.1,15487652.19
New Zealand,January,0,274135.59
Nigeria,January,0,1067.93
Norway,January,780,1071243.67
Not specified,January,154380.81,198177.21
Oman,January,227.14,0
Pacistan,January,34241.19,679740.36
Paraguay,January,0,287416.98
Philippines,January,353699.5,0
Pitcairn Islands,January,0,37578.76
Poland,January,2735045.17,8798146.3
Portugal,January,86536.72,737763.52
Qatar,January,62131.5,94052.16
Romania,January,7900510.46,19956380.17
San Marino,January,0,15356.62
Saudi Arabia,January,922423.81,0
Serbia,January,11244.12,405058.83
Seychelles,January,0,373155.82
Singapore,January,1160.49,552460.8
Slovakia,January,0,287863.94
Slovenia,January,10631,2718673.33
Somalia,January,26640,0
South Africa,January,1345.95,887047.92
South Korea,January,2680,4267296.98
Spain,January,788426.86,8889148.3
Sri Lanka,January,228.38,141211.45
Sudan,January,3700,4000
Sweden,January,122601.66,3961824.16
Switzerland,January,8122094.32,4172990.88
Syria,January,1940.4,49920
Taiwan,January,39308.02,1023398.36
Tajikista,January,35672.1,0
Tanzania,January,247800,14800
Thailand,January,94081.58,390094.69
The Farer Islands,January,0,89250
Tunis,January,114.61,43225.2
Turkmenistan,January,20337.34,14175109.77
Türkiye,January,26048567.09,120086790.7
UA Emirates,January,1073403.91,11268598.27
Ukraine,January,27707945.13,28784132.67
United States,January,4119843.58,5969982.62
Uruguay,January,0,240500
Uzbekistan,January,2224228.65,2594832.81
Venezuela,January,168480,0
Vietnam,January,0,609651.7
Zimbabwe,January,30975,0
russia,January,35616328.11,83896138.05
Albania,February,0,71520.28
Algeria,February,3000,0
Argentina,February,87150,1194840.95
Armenia,February,8490394.72,5485866.24
Australia,February,161776.18,114000
Austria,February,3975.52,4281475.87
Azerbaijan,February,8673170.22,85717099.9
Bahrain,February,77918.61,15750
Bangladesh,February,0,147061.57
Belarus,February,1409322.96,4270983.27
Belgium,February,410827.62,4444586.58
Bhutan,February,89544,0
Bosnia-Herzegovina,February,12766.67,93241.76
Brasil,February,0,4334121.27
Bulgaria,February,34176452.08,24915898.24
Canada,February,141862.99,1124029.68
China,February,65070227.67,76964904.64
Croatia,February,24669.1,423993.33
Cyprus,February,0,703032.93
Czech Republic,February,2553865.36,10529160.93
Denmark,February,116802.78,1521834.56
Ecvador,February,0,2506620.98
Egypt,February,970058.49,1303069.4
Estonia,February,552442.08,351321.25
Ethiopia,February,0,5549.99
Finland,February,40943.34,897538.67
France,February,5843806.59,14139545.29
Gabon,February,0,12604109.86
Gambia,February,0,42500
Gana,February,7400,0
Georgia,February,1007506.07,239056.52
Germany,February,6001808.95,25339673.55
Great Britain,February,1387589.24,6776186.98
Greece,February,303259.96,1990414.86
Honduras,February,61950,0
Hong Kong,February,37375.2,14092353.45
Hungary,February,152363.31,2741676.95
Iceland,February,1966.5,664221
India,February,12310828.47,5913898.12
Indonesia,February,0,861443.77
Iran,February,1081936.73,15049864.88
Iraq,February,1473373.62,607739.38
Ireland,February,19750,1030034.95
Israel,February,1292397.97,754910.15
Italy,February,4293713.62,17095902.17
Jamaica,February,0,1105.56
Japan,February,1186443.76,1477804.87
Jordan,February,43788.31,385
Kazakhstan,February,4826764.18,2072255.9
Kenya,February,840,39689.45
Kuwait,February,29696.92,0
Kyrgyzstan,February,745508.66,156871.07
Latvia,February,219292.51,1918410.36
Lebanon,February,0,14768
Libia,February,129002.89,0
Liechtenstein,February,0,3077.19
Lithuania,February,3115019.77,2658008.86
Luxembourg,February,0,135194.41
Macedonia,February,0,748953.92
Mala,February,7049.59,987798.68
Malawi,February,0,33110
Malaysia,February,0,1206527.62
Mexico,February,0,19010.51
Moldova,February,519284.71,802062.47
Mongolia,February,360211.2,0
Morocco,February,70800,0
Myanmar,February,0,644.18
Nepal,February,53707.04,9382.15
Netherlands,February,804751.85,9987452.77
New Zealand,February,0,111755.7
Nigeria,February,67071.95,3360.65
Norway,February,464873,899485.29
Not specified,February,154096.74,96655.92
Oman,February,64842.89,0
Pacistan,February,0,563062.16
Paraguay,February,0,684719.43
Peru,February,18081166,44800.9
Poland,February,2736459.23,10417710.48
Portugal,February,5581.99,844508.97
Qatar,February,98225.7,169855
Romania,February,5158276.53,23473443.43
Saudi Arabia,February,774888.47,7469.59
Serbia,February,40974.8,826063.17
Singapore,February,293273.83,6935052.41
Slovakia,February,15000,975391.16
Slovenia,February,20000,1723917.38
South Africa,February,0,12782.86
South Korea,February,1782,5343809.57
Spain,February,2061601.82,9878303.05
Sri Lanka,February,275,64121.65
Sudan,February,600,2500
Sweden,February,89775.48,1618697.49
Switzerland,February,6067135.69,19398721.09
Taiwan,February,323116.8,1581192.32
Tajikista,February,181696.58,0
Tanzania,February,61950,8880
Thailand,February,0,1008530.6
The Farer Islands,February,0,52677.1
Turkmenistan,February,297290.34,13982702.9
Türkiye,February,29821426.85,132272979.2
UA Emirates,February,587276.25,9982648.25
Ukraine,February,12628768.4,32352231.92
United States,February,37039875.7,3684405.39
Uruguay,February,0,730084.8
Uzbekistan,February,3049701.71,2513770.73
Venezuela,February,393120,0
Vietnam,February,229174,748341.08
